second,Volt,Volt
-7.78000E-03,-8.85989E-03,-6.96290E-03
-7.77000E-03,-8.89130E-03,-6.96290E-03
-7.76000E-03,-8.79708E-03,-6.99431E-03
-7.75000E-03,-8.89130E-03,-6.86868E-03
-7.74000E-03,-8.85989E-03,-6.96290E-03
-7.73000E-03,-8.85989E-03,-6.93150E-03
-7.72000E-03,-8.85989E-03,-7.02572E-03
-7.71000E-03,-8.95411E-03,-6.93150E-03
-7.70000E-03,-8.92271E-03,-6.86868E-03
-7.69000E-03,-8.92271E-03,-6.90009E-03
-7.68000E-03,-8.82848E-03,-6.93150E-03
-7.67000E-03,-8.95411E-03,-6.99431E-03
-7.66000E-03,-8.92271E-03,-6.93150E-03
-7.65000E-03,-8.95411E-03,-6.86868E-03
-7.64000E-03,-8.85989E-03,-6.83728E-03
-7.63000E-03,-8.98552E-03,-6.90009E-03
-7.62000E-03,-9.01693E-03,-6.96290E-03
-7.61000E-03,-8.98552E-03,-6.99431E-03
-7.60000E-03,-9.01693E-03,-7.02572E-03
-7.59000E-03,-8.95411E-03,-6.93150E-03
-7.58000E-03,-9.01693E-03,-6.93150E-03
-7.57000E-03,-8.92271E-03,-6.93150E-03
-7.56000E-03,-8.85989E-03,-7.11994E-03
-7.55000E-03,-8.89130E-03,-6.93150E-03
-7.54000E-03,-8.98552E-03,-7.02572E-03
-7.53000E-03,-8.98552E-03,-7.02572E-03
-7.52000E-03,-8.92271E-03,-7.02572E-03
-7.51000E-03,-8.92271E-03,-7.05713E-03
-7.50000E-03,-9.04833E-03,-6.96290E-03
-7.49000E-03,-8.89130E-03,-6.96290E-03
-7.48000E-03,-9.01693E-03,-6.96290E-03
-7.47000E-03,-8.95411E-03,-7.02572E-03
-7.46000E-03,-8.95411E-03,-7.02572E-03
-7.45000E-03,-8.85989E-03,-6.99431E-03
-7.44000E-03,-8.92271E-03,-6.96290E-03
-7.43000E-03,-8.85989E-03,-6.99431E-03
-7.42000E-03,-8.92271E-03,-6.93150E-03
-7.41000E-03,-9.01693E-03,-6.96290E-03
-7.40000E-03,-8.95411E-03,-6.90009E-03
-7.39000E-03,-9.01693E-03,-6.99431E-03
-7.38000E-03,-8.98552E-03,-7.02572E-03
-7.37000E-03,-9.04833E-03,-6.99431E-03
-7.36000E-03,-9.04833E-03,-6.96290E-03
-7.35000E-03,-8.95411E-03,-7.05713E-03
-7.34000E-03,-8.98552E-03,-6.96290E-03
-7.33000E-03,-8.85989E-03,-6.93150E-03
-7.32000E-03,-9.01693E-03,-6.96290E-03
-7.31000E-03,-8.89130E-03,-6.99431E-03
-7.30000E-03,-8.92271E-03,-6.96290E-03
-7.29000E-03,-8.95411E-03,-6.99431E-03
-7.28000E-03,-8.95411E-03,-6.96290E-03
-7.27000E-03,-8.95411E-03,-6.93150E-03
-7.26000E-03,-8.89130E-03,-6.99431E-03
-7.25000E-03,-8.89130E-03,-7.08853E-03
-7.24000E-03,-8.92271E-03,-6.96290E-03
-7.23000E-03,-8.98552E-03,-6.96290E-03
-7.22000E-03,-8.92271E-03,-6.99431E-03
-7.21000E-03,-8.92271E-03,-6.96290E-03
-7.20000E-03,-8.98552E-03,-6.99431E-03
-7.19000E-03,-8.95411E-03,-7.02572E-03
